8.629395e-05,
6.103516e-04,
1.129150e-03,
1.678467e-03,
2.197266e-03,
2.746582e-03,
3.280640e-03,
3.799438e-03,
4.348755e-03,
4.867554e-03,
5.416870e-03,
5.950928e-03,
6.469727e-03,
7.019043e-03,
7.537842e-03,
8.087158e-03,
8.621216e-03,
9.140015e-03,
9.689331e-03,
1.020813e-02,
1.075745e-02,
1.129150e-02,
1.181030e-02,
1.235962e-02,
1.287842e-02,
1.342773e-02,
1.396179e-02,
1.448059e-02,
1.502991e-02,
1.554871e-02,
1.609802e-02,
1.663208e-02,
1.715088e-02,
1.770020e-02,
1.821899e-02,
1.876831e-02,
1.930237e-02,
1.982117e-02,
2.037048e-02,
2.088928e-02,
2.143860e-02,
2.197266e-02,
2.249146e-02,
2.304077e-02,
2.355957e-02,
2.410889e-02,
2.464294e-02,
2.516174e-02,
2.571106e-02,
2.622986e-02,
2.677917e-02,
2.731323e-02,
2.783203e-02,
2.838135e-02,
2.890015e-02,
2.944946e-02,
2.998352e-02,
3.050232e-02,
3.105164e-02,
3.157043e-02,
3.211975e-02,
3.265381e-02,
3.317261e-02,
3.372192e-02,
3.424072e-02,
3.479004e-02,
3.532410e-02,
1.756439e-01,
5.956116e-01,
1.015518e+00,
1.435486e+00,
1.855438e+00,
2.275345e+00,
2.695313e+00,
3.115204e+00,
3.535172e+00,
3.955139e+00,
4.375031e+00,
4.794998e+00,
5.214905e+00,
5.634872e+00,
6.054825e+00,
6.474731e+00,
6.894699e+00,
7.314590e+00,
7.734558e+00,
8.154526e+00,
8.574417e+00,
8.994385e+00,
9.414291e+00,
9.834259e+00,
1.025421e+01,
1.067412e+01,
1.109409e+01,
1.151398e+01,
1.193394e+01,
1.235391e+01,
1.277380e+01,
1.319377e+01,
1.361368e+01,
1.403365e+01,
1.445360e+01,
1.487350e+01,
1.529347e+01,
1.571336e+01,
1.613333e+01,
1.655330e+01,
1.697319e+01,
1.739316e+01,
1.781306e+01,
1.823303e+01,
1.865298e+01,
1.907289e+01,
1.949286e+01,
1.991275e+01,
2.033272e+01,
2.075269e+01,
2.117258e+01,
2.159254e+01,
2.201245e+01,
2.243242e+01,
2.285237e+01,
2.327228e+01,
2.369225e+01,
2.411214e+01,
2.453210e+01,
2.495207e+01,
2.537196e+01,
2.579193e+01,
2.621184e+01,
2.663181e+01,
2.705176e+01,
2.747166e+01,
2.789163e+01,
2.479958e+02,
5.779925e+02,
9.079891e+02,
1.237935e+03,
1.567932e+03,
1.897878e+03,
2.227875e+03,
2.557872e+03,
2.887818e+03,
3.217815e+03,
3.547761e+03,
3.877758e+03,
4.207754e+03,
4.537701e+03,
4.867697e+03,
5.197643e+03,
5.527640e+03,
5.857637e+03,
6.187583e+03,
6.517580e+03,
6.847526e+03,
7.177523e+03,
7.507519e+03,
7.837466e+03,
8.167462e+03,
8.497409e+03,
8.827405e+03,
9.157402e+03,
9.487348e+03,
9.817345e+03,
1.014729e+04,
1.047729e+04,
1.080728e+04,
1.113723e+04,
1.146723e+04,
1.179717e+04,
1.212717e+04,
1.245717e+04,
1.278711e+04,
1.311711e+04,
1.344706e+04,
1.377705e+04,
1.410705e+04,
1.443700e+04,
1.476699e+04,
1.509694e+04,
1.542694e+04,
1.575693e+04,
1.608688e+04,
1.641688e+04,
1.674682e+04,
1.707682e+04,
1.740681e+04,
1.773676e+04,
1.806676e+04,
1.839670e+04,
1.872670e+04,
1.905670e+04,
1.938664e+04,
1.971664e+04,
2.004659e+04,
2.037658e+04,
2.070658e+04,
2.103653e+04,
2.136652e+04,
2.169647e+04
